game time: 8635, player: [0, -144.5], player speed: [0, 7]
game time: 8653, player: [0, -137], player speed: [0, 7.5]
game time: 8669, player: [0, -129], player speed: [0, 8]
game time: 8687, player: [0, -120.5], player speed: [0, 8.5]
game time: 8703, player: [0, -111.5], player speed: [0, 9]
game time: 8719, player: [0, -102], player speed: [0, 9.5]
game time: 8736, player: [0, -102], player speed: [0, 0]
game time: 8753, player: [0, -101.5], player speed: [0, 0.5]
game time: 8770, player: [0, -102], player speed: [0, 0]
game time: 8785, player: [0, -101.5], player speed: [0, 0.5]
game time: 8803, player: [0, -102], player speed: [0, 0]
game time: 8818, player: [0, -101.5], player speed: [0, 0.5]
game time: 8838, player: [0, -102], player speed: [0, 0]
game time: 8855, player: [0, -111.5], player speed: [0, -9.5]
game time: 8870, player: [0, -120.5], player speed: [0, -9]
game time: 8886, player: [0, -129], player speed: [0, -8.5]
game time: 8902, player: [0, -137], player speed: [0, -8]
game time: 8918, player: [0, -144.5], player speed: [0, -7.5]
game time: 8935, player: [0, -151.5], player speed: [0, -7]
game time: 8951, player: [0, -158], player speed: [0, -6.5]
game time: 8968, player: [0, -164], player speed: [0, -6]
game time: 8985, player: [0, -169.5], player speed: [0, -5.5]
game time: 9002, player: [0, -174.5], player speed: [0, -5]
game time: 9018, player: [0, -179], player speed: [0, -4.5]
game time: 9035, player: [0, -183], player speed: [0, -4]
game time: 9053, player: [0, -186.5], player speed: [0, -3.5]
game time: 9069, player: [0, -189.5], player speed: [0, -3]
game time: 9085, player: [0, -192], player speed: [0, -2.5]
game time: 9103, player: [0, -194], player speed: [0, -2]
game time: 9118, player: [0, -195.5], player speed: [0, -1.5]
game time: 9135, player: [0, -196.5], player speed: [0, -1]
game time: 9151, player: [0, -197], player speed: [0, -0.5]
game time: 9167, player: [0, -197], player speed: [0, 0]
game time: 9184, player: [0, -196.5], player speed: [0, 0.5]
game time: 9200, player: [0, -195.5], player speed: [0, 1]
game time: 9216, player: [0, -194], player speed: [0, 1.5]
game time: 9232, player: [0, -192], player speed: [0, 2]
game time: 9248, player: [0, -189.5], player speed: [0, 2.5]
game time: 9264, player: [0, -186.5], player speed: [0, 3]
game time: 9283, player: [0, -183], player speed: [0, 3.5]
game time: 9298, player: [0, -179], player speed: [0, 4]
game time: 9314, player: [0, -174.5], player speed: [0, 4.5]
game time: 9331, player: [0, -169.5], player speed: [0, 5]
game time: 9349, player: [0, -164], player speed: [0, 5.5]
game time: 9367, player: [0, -158], player speed: [0, 6]
game time: 9382, player: [0, -151.5], player speed: [0, 6.5]
game time: 9399, player: [0, -144.5], player speed: [0, 7]
game time: 9416, player: [0, -137], player speed: [0, 7.5]
game time: 9434, player: [0, -129], player speed: [0, 8]
game time: 9450, player: [0, -120.5], player speed: [0, 8.5]
game time: 9467, player: [0, -111.5], player speed: [0, 9]
game time: 9484, player: [0, -102], player speed: [0, 9.5]
game time: 9499, player: [0, -102], player speed: [0, 0]
game time: 9516, player: [0, -111.5], player speed: [0, -9.5]
game time: 9532, player: [0, -120.5], player speed: [0, -9]
game time: 9548, player: [0, -129], player speed: [0, -8.5]
game time: 9564, player: [0, -137], player speed: [0, -8]
game time: 9581, player: [0, -144.5], player speed: [0, -7.5]
game time: 9597, player: [0, -151.5], player speed: [0, -7]
game time: 9615, player: [0, -158], player speed: [0, -6.5]
game time: 9631, player: [0, -164], player speed: [0, -6]
game time: 9647, player: [0, -169.5], player speed: [0, -5.5]
game time: 9664, player: [0, -174.5], player speed: [0, -5]
game time: 9680, player: [0, -179], player speed: [0, -4.5]
game time: 9695, player: [0, -183], player speed: [0, -4]
game time: 9714, player: [0, -186.5], player speed: [0, -3.5]
game time: 9729, player: [0, -189.5], player speed: [0, -3]
game time: 9745, player: [0, -192], player speed: [0, -2.5]
game time: 9762, player: [0, -194], player speed: [0, -2]
game time: 9779, player: [0, -195.5], player speed: [0, -1.5]
game time: 9798, player: [0, -196.5], player speed: [0, -1]
game time: 9812, player: [0, -197], player speed: [0, -0.5]
game time: 9829, player: [0, -197], player speed: [0, 0]
game time: 9845, player: [0, -196.5], player speed: [0, 0.5]
game time: 9863, player: [0, -195.5], player speed: [0, 1]
game time: 9879, player: [0, -194], player speed: [0, 1.5]
game time: 9895, player: [0, -192], player speed: [0, 2]
game time: 9912, player: [0, -189.5], player speed: [0, 2.5]
game time: 9927, player: [0, -186.5], player speed: [0, 3]
